,data,hora,rodovia,km,municipio,tipo,gravidade,latitude,longitude
13599,2023-10-18,12:41:00,110.0,47,MOSSORO,Colisão transversal,Com Vítimas Feridas,-5.20338376,-37.32563418
13603,2023-08-26,00:30:00,304.0,176,ANGICOS,Colisão frontal,Com Vítimas Feridas,-5.68840912,-36.37424401
13607,2023-10-19,09:35:00,101.0,97,NATAL,Colisão traseira,Sem Vítimas,-5.857612,-35.212723
13609,2023-10-03,13:20:00,101.0,147,GOIANINHA,Tombamento,Com Vítimas Feridas,-6.27145987,-35.20823975
13611,2023-10-21,07:10:00,101.0,169,CANGUARETAMA,Queda de ocupante de veículo,Sem Vítimas,-6.440476,-35.112904
13614,2023-10-21,07:10:00,101.0,169,CANGUARETAMA,Colisão com objeto,Sem Vítimas,-6.440476,-35.112904
13617,2023-10-21,07:10:00,101.0,169,CANGUARETAMA,Tombamento,Sem Vítimas,-6.440476,-35.112904
13620,2023-10-21,07:10:00,101.0,169,CANGUARETAMA,Saída de leito carroçável,Sem Vítimas,-6.440476,-35.112904
13623,2023-10-21,07:10:00,101.0,169,CANGUARETAMA,Colisão traseira,Sem Vítimas,-6.440476,-35.112904
13626,2023-10-21,13:30:00,101.0,85,NATAL,Colisão traseira,Com Vítimas Feridas,-5.777664,-35.249371
13632,2023-10-21,12:26:00,101.0,68,EXTREMOZ,Colisão traseira,Com Vítimas Feridas,-5.66628678,-35.25303617
13635,2023-10-22,09:50:00,226.0,61,SENADOR ELOI DE SOUZA,Tombamento,Com Vítimas Feridas,-6.05016006,-35.67466683
13638,2023-10-22,09:50:00,226.0,61,SENADOR ELOI DE SOUZA,Colisão traseira,Com Vítimas Feridas,-6.05016006,-35.67466683
13641,2023-10-23,08:00:00,101.0,96,NATAL,Colisão lateral mesmo sentido,Com Vítimas Feridas,-5.84949622,-35.20890752
13645,2023-10-23,12:50:00,226.0,253,JUCURUTU,Capotamento,Com Vítimas Feridas,-5.97360727,-37.04006195
13647,2023-10-23,22:32:00,101.0,99,NATAL,Tombamento,Com Vítimas Feridas,-5.87365,-35.220673
13648,2023-10-24,17:20:00,101.0,103,PARNAMIRIM,Colisão traseira,Com Vítimas Feridas,-5.89034022,-35.24894996
13650,2023-10-24,21:45:00,405.0,9,MOSSORO,Atropelamento de Animal,Com Vítimas Feridas,-5.1972828,-37.4364029
13651,2023-10-25,22:30:00,101.0,77,NATAL,Colisão frontal,Com Vítimas Feridas,-5.73180495,-35.29112135
13659,2023-10-25,22:30:00,101.0,77,NATAL,Tombamento,Com Vítimas Feridas,-5.73180495,-35.29112135
13667,2023-10-25,22:30:00,101.0,77,NATAL,Queda de ocupante de veículo,Com Vítimas Feridas,-5.73180495,-35.29112135
13675,2023-10-26,07:00:00,101.0,104,PARNAMIRIM,Queda de ocupante de veículo,Com Vítimas Feridas,-5.892745,-35.257225
13677,2023-10-28,13:17:00,101.0,108,PARNAMIRIM,Capotamento,Com Vítimas Feridas,-5.92823,-35.264656
13678,2023-10-28,16:50:00,304.0,48,MOSSORO,Atropelamento de Pedestre,Com Vítimas Feridas,-5.22868577,-37.32203081
13680,2023-10-28,20:20:00,405.0,155,PAU DOS FERROS,Queda de ocupante de veículo,Com Vítimas Feridas,-6.14970137,-38.20583544
13682,2023-10-28,20:20:00,405.0,155,PAU DOS FERROS,Tombamento,Com Vítimas Feridas,-6.14970137,-38.20583544
13684,2023-10-28,20:20:00,405.0,155,PAU DOS FERROS,Colisão frontal,Com Vítimas Feridas,-6.14970137,-38.20583544
13686,2023-09-25,17:02:00,304.0,253,SANTA MARIA,Colisão traseira,Com Vítimas Fatais,-5.835243,-35.72709
13692,2023-10-30,22:25:00,101.0,107,PARNAMIRIM,Atropelamento de Pedestre,Com Vítimas Fatais,-5.919193,-35.264118
13694,2023-10-31,07:15:00,101.0,112,SAO JOSE DE MIPIBU,Colisão lateral mesmo sentido,Com Vítimas Feridas,-5.9643,-35.264877
13696,2023-10-31,17:30:00,101.0,109,PARNAMIRIM,Queda de ocupante de veículo,Com Vítimas Feridas,-5.937378,-35.26483
13700,2023-10-31,17:51:00,101.0,97,NATAL,Queda de ocupante de veículo,Com Vítimas Feridas,-5.857612,-35.212723
13703,2023-10-31,17:51:00,101.0,97,NATAL,Tombamento,Com Vítimas Feridas,-5.857612,-35.212723
13706,2023-10-31,17:51:00,101.0,97,NATAL,Engavetamento,Com Vítimas Feridas,-5.857612,-35.212723
13709,2023-10-31,18:55:00,405.0,160,RAFAEL FERNANDES,Colisão traseira,Com Vítimas Feridas,-6.19000007,-38.22449832
13713,2023-10-08,19:47:00,405.0,1,MOSSORO,Colisão traseira,Com Vítimas Feridas,-5.19170196,-37.361471
13718,2023-11-01,17:00:00,101.0,81,NATAL,Queda de ocupante de veículo,Com Vítimas Feridas,-5.76469466,-35.28295988
13722,2023-11-01,17:00:00,101.0,81,NATAL,Colisão traseira,Com Vítimas Feridas,-5.76469466,-35.28295988
13726,2023-11-01,16:39:00,226.0,32,MACAIBA,Colisão traseira,Com Vítimas Feridas,-5.88749803,-35.48264699
13730,2023-10-20,16:20:00,101.0,94,NATAL,Engavetamento,Com Vítimas Feridas,-5.83176615,-35.21191342
13733,2023-11-02,04:50:00,405.0,170,MARCELINO VIEIRA,Queda de ocupante de veículo,Com Vítimas Fatais,-6.271113,-38.25482
13734,2023-11-02,04:50:00,405.0,170,MARCELINO VIEIRA,Tombamento,Com Vítimas Fatais,-6.271113,-38.25482
13735,2023-11-02,04:50:00,405.0,170,MARCELINO VIEIRA,Saída de leito carroçável,Com Vítimas Fatais,-6.271113,-38.25482
13736,2023-11-02,04:50:00,405.0,170,MARCELINO VIEIRA,Colisão frontal,Com Vítimas Fatais,-6.271113,-38.25482
13737,2023-11-02,21:20:00,101.0,78,NATAL,Queda de ocupante de veículo,Com Vítimas Feridas,-5.740798,-35.290199
13740,2023-11-03,07:29:00,304.0,38,MOSSORO,Queda de ocupante de veículo,Com Vítimas Feridas,-5.18138457,-37.36832252
13750,2023-11-03,07:29:00,304.0,38,MOSSORO,Colisão lateral mesmo sentido,Com Vítimas Feridas,-5.18138457,-37.36832252
13760,2023-11-03,10:20:00,101.0,102,PARNAMIRIM,Colisão traseira,Com Vítimas Feridas,-5.88861,-35.24033
